Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
23.5,Male,96182.0,Yes,7.310070321545279,99.6,2,31.6,No,No,5.221507078242621,3.79,3.98,3.98,Year 1,CS,High School,0
19.8,Female,25158.0,Yes,6.751882654604016,85.3,2,33.5,No,No,6.645303812468073,1.74,1.32,1.34,Year 2,Arts,High School,0
21.7,Female,51932.0,Yes,4.442334638612306,66.2,2,34.0,No,No,9.155295720863982,1.39,2.11,2.11,Year 3,Engineering,Bachelor,1
21.7,Female,28054.0,Yes,3.3453504577080153,59.5,2,44.3,No,No,3.181692978888297,3.02,3.26,3.28,Year 3,Science,Master,0
17.6,Female,34986.0,Yes,5.805472445915731,76.9,4,39.1,Yes,Yes,6.662886588555265,1.84,2.25,2.15,Year 2,CS,Bachelor,0
17.0,Female,94216.0,No,4.643765313223984,81.2,2,40.0,No,No,5.574430508866579,3.35,3.1,3.16,Year 2,Engineering,High School,0
21.9,Male,25000.0,No,7.405675165624677,81.5,3,62.0,No,No,3.1949150828285178,3.66,4.0,4.0,Year 3,Business,High School,0
20.9,Male,25000.0,Yes,2.475918963989674,79.2,4,8.0,No,Yes,5.137504670335219,1.33,0.92,0.96,Year 4,Arts,Master,0
20.3,Female,25000.0,Yes,5.975967540923624,79.8,2,30.2,No,No,8.153660057458403,1.58,1.64,1.58,Year 3,Arts,Bachelor,1
22.0,Female,50303.0,Yes,6.288253933181055,74.1,3,42.1,No,No,6.817869427394838,2.4,1.72,1.77,Year 3,CS,High School,0
19.4,Female,26854.0,Yes,5.012755618722758,82.9,2,37.8,No,No,6.002452829558163,0.94,0.89,0.82,Year 4,Engineering,Master,0
21.0,Male,33011.0,Yes,5.484636773426979,74.0,2,22.3,Yes,No,7.711481946240801,3.05,2.7,2.72,Year 4,Arts,Bachelor,0
19.5,Female,26928.0,Yes,5.826706227559088,86.8,1,26.4,Yes,No,7.085571388061807,3.87,4.0,3.98,Year 2,Arts,Master,0
24.3,Male,46653.0,Yes,4.765383501821378,86.7,2,30.7,No,No,5.219423416346308,0.78,0.77,0.84,Year 3,Arts,Bachelor,1
18.5,Female,41396.0,Yes,3.29445356636794,82.3,1,37.2,No,No,3.4331968064783442,2.67,3.06,3.03,Year 3,Arts,Bachelor,0
23.0,Male,53147.0,Yes,4.482397725182508,86.1,3,51.4,Yes,No,7.966511109793363,1.82,1.09,1.09,Year 1,Engineering,Bachelor,1
21.4,Female,99178.0,Yes,4.327196131333509,80.8,1,26.0,Yes,Yes,4.837677984919037,2.94,3.01,3.01,Year 1,Engineering,Bachelor,0
24.8,Female,31583.0,Yes,5.383191870920991,77.3,2,31.9,No,No,4.3929440094170635,1.33,1.61,1.68,Year 4,Science,High School,0
22.8,Female,37713.0,Yes,5.666819352219685,71.0,0,25.7,No,No,7.5718237700292645,0.0,0.17,0.15,Year 3,CS,Bachelor,0
22.4,Male,30446.0,Yes,5.058612878029847,84.1,0,35.9,No,No,7.625817328636471,3.68,3.43,3.43,Year 1,Business,Bachelor,0
19.6,Male,25000.0,Yes,7.907000362950499,87.4,4,23.1,Yes,Yes,5.308464940525913,3.25,3.31,3.29,Year 4,CS,High School,0
18.4,Male,44565.0,No,4.6725966216153765,82.1,2,24.4,Yes,No,6.25084586131552,2.88,3.14,3.19,Year 3,Science,Bachelor,0
22.9,Male,25000.0,Yes,5.471211955209371,73.7,3,31.7,No,Yes,5.820655134320452,1.2,0.89,0.89,Year 1,CS,Bachelor,1
19.9,Female,28307.0,Yes,7.480974052246475,82.2,2,5.0,Yes,No,4.893364246695665,4.0,3.84,3.81,Year 4,Engineering,Bachelor,0
19.5,Female,36770.0,Yes,4.884332873268311,85.0,1,26.5,No,No,6.874170450101243,1.37,1.46,1.46,Year 1,Engineering,Master,0
18.4,Male,30340.0,Yes,7.963759829025204,78.3,0,35.9,No,No,6.049107226522841,2.23,2.18,2.18,Year 1,Engineering,High School,0
19.7,Female,25000.0,Yes,4.214090376156584,76.2,1,14.2,Yes,No,5.383744063574311,0.0,0.05,0.09,Year 3,Engineering,Bachelor,1
19.6,Male,25000.0,Yes,8.535108200680796,84.8,2,34.4,No,No,7.899585193930318,4.0,4.0,4.0,Year 4,Business,Bachelor,0
21.8,Female,30052.0,Yes,4.66671783638278,95.8,3,35.8,No,No,6.481715466429772,4.0,3.84,3.88,Year 4,Engineering,Master,0
18.4,Female,124140.0,Yes,5.095960107845181,73.6,2,53.6,No,No,4.91930970640006,2.48,2.13,2.19,Year 2,Arts,Bachelor,0
24.9,Male,25000.0,Yes,8.477360363410245,96.7,2,41.8,Yes,No,7.042464343356215,2.38,2.22,2.2,Year 2,Arts,Bachelor,0
21.6,Female,29331.0,No,4.904467422483799,95.7,4,23.2,No,No,5.315722150124319,2.78,2.59,2.62,Year 2,Business,PhD,0
21.7,Female,25000.0,Yes,4.152577555542033,84.4,0,28.8,Yes,No,4.228723555759131,3.43,3.79,3.87,Year 2,CS,PhD,0
22.4,Male,28816.0,Yes,5.97357623876643,88.0,3,37.3,Yes,No,4.02636477658717,2.03,1.67,1.72,Year 4,Science,Bachelor,0
18.1,Female,25000.0,Yes,4.303688755920135,97.5,1,36.4,No,No,4.005019932043917,1.87,2.51,2.47,Year 3,Science,Bachelor,0
22.7,Male,32360.0,Yes,3.5323355050472323,85.5,0,49.6,Yes,Yes,7.092212431214352,0.75,0.66,0.62,Year 4,Business,Bachelor,1
19.7,Female,25000.0,Yes,6.703747917548398,76.4,1,25.7,Yes,Yes,5.172821887157038,2.5,2.52,2.52,Year 1,Business,Master,0
19.8,Female,25000.0,Yes,7.218786227721483,86.7,0,23.1,No,No,4.834102428340397,2.43,2.73,2.75,Year 4,CS,Master,0
23.7,Female,25000.0,Yes,4.912754051930458,77.0,1,38.3,No,No,3.225438718177762,3.77,4.0,4.0,Year 4,Business,Master,0
18.9,Male,68572.0,Yes,4.409760874607255,87.3,1,10.2,No,No,5.696498664678909,1.42,1.52,1.46,Year 4,CS,PhD,0
19.8,Male,25000.0,Yes,4.4583953537990135,84.7,1,19.3,Yes,Yes,6.428481439244971,1.49,1.51,1.45,Year 3,Engineering,High School,1
22.7,Male,27230.0,Yes,3.727412734097504,79.9,2,39.1,No,No,3.274116125183603,2.07,2.38,2.38,Year 1,Engineering,High School,0
23.0,Female,25000.0,Yes,4.444300410449253,84.3,2,34.4,No,No,7.5112620954333345,4.0,3.74,3.74,Year 1,Arts,High School,0
17.3,Male,25000.0,No,5.649811917905367,77.5,1,22.3,No,No,8.52926043613474,0.94,0.33,0.33,Year 1,Arts,High School,1
22.4,Male,25000.0,Yes,6.394336507552535,86.8,3,30.9,Yes,Yes,4.6510050857627965,3.59,3.41,3.42,Year 2,Science,Bachelor,0
23.3,Female,25000.0,Yes,5.65961172668556,91.1,3,40.0,No,Yes,4.563712812703945,2.56,2.58,2.57,Year 4,Business,High School,0
20.3,Male,43106.0,Yes,6.587746403542107,85.6,0,22.5,No,No,6.251887520797142,2.86,2.14,2.14,Year 1,Business,High School,0
21.8,Male,55315.0,No,3.9947657411514284,80.1,1,18.7,No,Yes,9.833447863125468,0.61,0.8,0.86,Year 2,Science,PhD,1
18.0,Female,44836.0,Yes,5.126423251686227,93.3,2,54.7,Yes,Yes,6.734821866478765,2.26,2.58,2.64,Year 4,Arts,High School,0
21.7,Male,25000.0,Yes,3.3422856086579302,100.0,0,27.3,No,No,5.346049985885826,1.64,1.8,1.81,Year 3,Arts,Master,0
24.2,Female,25000.0,Yes,6.532512639240355,77.8,4,40.0,No,No,8.835544537203623,1.11,0.98,1.01,Year 2,Business,Master,0
21.6,Male,49713.0,Yes,6.1902227664452845,73.7,2,40.5,No,No,6.315046046699555,1.01,1.17,1.16,Year 2,Engineering,Bachelor,0
21.7,Female,25000.0,No,5.655425758507214,90.1,2,53.5,Yes,No,6.37101024215483,2.92,2.76,2.77,Year 4,Business,High School,1
20.9,Male,34619.0,Yes,4.508301159403297,77.8,3,51.9,No,No,3.4302349900978295,2.17,1.98,1.87,Year 3,Science,High School,0
21.3,Male,25000.0,Yes,3.9123539407709633,82.0,0,45.2,No,No,6.465892534139621,1.68,2.12,2.17,Year 3,Business,High School,0
21.7,Male,25000.0,Yes,4.218676903359976,77.1,3,22.1,Yes,No,2.007569035078068,4.0,3.99,3.99,Year 1,Business,High School,0
19.7,Female,25000.0,Yes,5.424929376041822,67.1,2,31.6,No,No,5.033648625812677,2.31,1.83,1.81,Year 3,CS,Bachelor,0
17.8,Male,33553.0,Yes,6.610012278904908,76.4,3,26.8,No,No,4.300517732000806,0.98,1.0,0.95,Year 4,CS,Bachelor,0
25.5,Male,28772.0,Yes,5.463882620792192,89.3,1,43.8,Yes,No,5.674660659717575,0.07,0.0,0.1,Year 2,Science,Bachelor,1
20.8,Female,25000.0,No,4.751359549737748,79.5,1,17.7,No,Yes,7.326244792317956,2.11,1.92,1.92,Year 1,Engineering,Master,0
21.9,Male,25000.0,Yes,4.750967674342606,63.5,1,43.8,Yes,No,7.253330246128154,0.59,0.54,0.52,Year 4,Science,High School,0
21.1,Female,109707.0,No,5.09936362761861,83.3,3,37.3,Yes,No,4.657351894858715,3.26,2.82,2.87,Year 2,Engineering,Master,0
21.6,Female,25000.0,Yes,2.8152455661716216,88.8,0,6.7,Yes,No,4.213512003902995,2.35,2.75,2.63,Year 2,Science,High School,0
19.3,Female,51302.0,Yes,8.20751135192588,90.7,1,24.4,No,No,7.515378772290666,2.83,2.41,2.33,Year 4,Engineering,Bachelor,0
18.9,Male,51731.0,Yes,5.29016568114765,82.2,0,42.2,No,No,7.242597236659871,0.25,0.48,0.49,Year 4,Business,Master,1
22.3,Female,25000.0,Yes,4.21371677146588,88.4,0,10.7,Yes,No,6.997559167045694,2.73,2.81,2.78,Year 4,Arts,Master,0
18.8,Male,25000.0,No,1.4684701471871868,81.5,2,39.6,No,No,6.209568291437979,0.0,0.0,0.0,Year 1,Arts,Bachelor,0
17.0,Female,25228.0,Yes,5.807726544619357,72.9,1,42.8,No,No,6.942796883186679,0.69,0.59,0.53,Year 2,Business,Master,1
17.7,Male,118928.0,No,3.613370016585254,75.7,0,31.7,No,Yes,6.027369721076108,1.16,1.03,1.03,Year 1,Science,High School,1
20.8,Female,25000.0,Yes,4.313062880303046,69.0,4,17.3,Yes,No,6.268495222816399,0.18,0.5,0.5,Year 1,Engineering,PhD,0
18.1,Female,25000.0,Yes,6.4698662066118775,83.2,2,35.7,No,No,6.339091565482637,2.45,2.58,2.57,Year 2,Engineering,Bachelor,0
23.3,Male,25000.0,No,4.570312310772922,84.4,2,21.7,Yes,No,6.927315206742451,2.86,3.02,3.06,Year 3,Business,Master,0
20.2,Male,25000.0,No,3.715355471986519,76.5,1,16.5,Yes,Yes,7.526148922784729,1.9,1.25,1.18,Year 4,Science,High School,1
24.6,Female,25000.0,Yes,5.514912849329927,72.2,3,34.6,No,Yes,4.722536911100397,1.33,1.43,1.47,Year 4,Arts,Bachelor,0
21.1,Female,48693.0,Yes,5.140571946976622,89.6,2,19.2,No,No,4.8260700613017535,2.66,2.61,2.67,Year 3,Business,High School,0
23.4,Female,25000.0,Yes,6.460798738287888,82.2,1,43.2,Yes,Yes,6.246227772387298,1.75,2.39,2.46,Year 4,Business,Bachelor,0
22.5,Male,30794.0,Yes,8.047088399726384,77.0,2,36.4,No,No,7.113898167536045,1.24,1.07,1.16,Year 3,Science,Master,1
22.4,Female,38576.0,Yes,5.586120854682348,86.3,1,28.4,No,No,3.2658660247476643,2.88,3.32,3.38,Year 2,Science,Bachelor,0
17.0,Female,34425.0,Yes,6.177972338380341,76.1,4,34.5,Yes,No,3.0159832050991944,1.92,2.03,2.03,Year 1,Engineering,Bachelor,0
23.3,Female,25000.0,Yes,3.560930562512433,83.2,2,25.7,Yes,No,3.6975322258656176,0.69,0.59,0.59,Year 1,Science,Bachelor,1
19.4,Female,55436.0,Yes,5.813345033200779,74.8,1,28.1,Yes,Yes,6.781194986317421,1.04,0.93,0.95,Year 4,CS,Master,1
22.0,Female,35196.0,Yes,6.711014651562512,77.2,0,39.2,Yes,No,2.726849070030953,4.0,4.0,4.0,Year 4,Arts,Master,0
19.9,Male,29226.0,Yes,5.42196889481656,83.6,1,21.8,No,Yes,6.542347647837492,0.07,0.61,0.76,Year 4,Arts,Bachelor,1
22.7,Female,29858.0,Yes,4.210329631139697,84.0,3,41.5,Yes,Yes,7.372944437868603,2.42,2.17,2.22,Year 4,Arts,Bachelor,1
18.0,Male,28701.0,Yes,4.257451245406819,87.8,3,27.5,No,Yes,6.12623839032235,0.0,0.62,0.6,Year 4,Engineering,High School,1
23.2,Male,25000.0,Yes,6.092303358033447,98.4,0,39.2,Yes,Yes,8.549587803335093,2.22,1.84,1.85,Year 3,Science,Bachelor,0
21.2,Male,37458.0,Yes,4.350024348483808,71.0,0,36.1,Yes,No,6.6895921129564755,1.15,1.39,1.39,Year 1,Science,PhD,0
19.6,Female,25000.0,Yes,5.460342751622671,73.1,0,17.1,No,Yes,6.155883993466216,3.27,3.62,3.71,Year 4,Science,High School,0
22.5,Female,88233.0,Yes,4.809964312505573,72.1,3,35.0,Yes,No,4.424133587300135,2.77,2.94,2.94,Year 1,Science,High School,1
20.7,Male,48449.0,Yes,3.327216518690869,62.5,2,29.2,Yes,No,5.238711700454392,2.08,2.18,2.19,Year 4,CS,High School,0
20.8,Female,68667.0,Yes,4.556734568274409,93.2,2,31.5,Yes,No,6.611296117446813,3.47,3.38,3.37,Year 4,Arts,Bachelor,0
20.6,Female,25000.0,Yes,3.073294800956446,88.9,4,53.9,No,No,5.492710181541825,1.47,1.51,1.48,Year 4,Business,High School,0
23.2,Female,34042.0,Yes,6.426910870896307,78.0,1,33.3,Yes,No,6.3100376535891955,1.67,1.54,1.54,Year 1,Engineering,Bachelor,1
23.6,Male,40916.0,No,5.284979922284915,89.0,1,44.6,Yes,No,9.481281605359591,2.2,2.45,2.36,Year 4,Engineering,Bachelor,0
18.0,Female,53700.0,Yes,4.899541063084183,74.5,3,23.8,No,No,7.645124398682398,1.72,1.19,1.17,Year 3,Science,PhD,1
24.2,Male,35589.0,Yes,2.192456016171689,74.2,0,28.7,No,No,8.361114604631727,0.0,0.13,0.13,Year 1,Arts,PhD,1
20.4,Male,30153.0,Yes,6.739324821390474,70.4,2,36.4,No,No,6.842000083953213,4.0,4.0,4.0,Year 1,CS,High School,0
21.6,Female,41136.0,Yes,3.9880671673774972,69.4,1,23.0,No,No,6.177147676366639,1.16,0.8,0.75,Year 2,Arts,Bachelor,0
21.5,Female,25000.0,No,5.187471300316601,100.0,1,18.5,Yes,No,6.651943257876203,2.96,2.97,2.97,Year 1,Business,Master,0
26.3,Female,40204.0,Yes,5.076465844006352,67.9,4,35.9,No,No,5.38696065401232,3.1,3.79,3.81,Year 2,Business,PhD,0
17.0,Male,25000.0,Yes,2.2880707977337926,73.4,3,24.5,Yes,Yes,9.856775160216285,0.93,1.41,1.45,Year 3,Arts,High School,1
20.2,Female,163370.0,Yes,3.934858687464525,89.9,1,34.6,No,Yes,4.366308917811628,2.93,2.62,2.61,Year 4,Business,Bachelor,0
21.1,Male,44669.0,Yes,2.9970825264280183,79.2,1,33.0,Yes,No,4.565748236860397,2.9,3.11,3.14,Year 3,Arts,High School,0
21.2,Female,25000.0,Yes,6.674424861181746,97.1,0,27.9,No,No,6.665598957061464,1.96,1.8,1.8,Year 2,Science,Master,0
21.8,Female,25000.0,Yes,6.233305919951518,79.7,2,33.3,No,No,8.287085347017761,2.05,1.48,1.48,Year 2,CS,High School,0
21.7,Female,25000.0,Yes,5.606863760414047,84.3,2,35.7,Yes,Yes,6.144614169965508,2.79,2.66,2.66,Year 1,Arts,Bachelor,0
25.7,Male,33964.0,Yes,3.931455521232804,77.6,3,48.4,Yes,No,5.531520212508318,1.19,0.85,0.7,Year 2,Arts,Bachelor,1
20.9,Female,27611.0,Yes,3.863040803811593,85.1,7,31.5,Yes,No,8.328428134528899,1.65,1.25,1.25,Year 1,Engineering,High School,1
20.9,Male,36205.0,Yes,6.241064287770541,92.7,0,32.6,Yes,No,8.142924741341588,2.63,2.73,2.78,Year 3,Engineering,High School,0
20.9,Male,25000.0,Yes,4.24385523057032,91.7,2,33.2,No,No,3.5208686767808075,2.22,1.95,1.95,Year 1,Arts,High School,0
24.1,Female,25000.0,Yes,4.576594708621803,73.1,1,25.5,No,No,3.198718985952625,4.0,4.0,4.0,Year 1,Engineering,Bachelor,0
19.6,Female,25000.0,Yes,5.516441311216178,90.6,1,35.7,No,No,3.426625094522258,2.95,2.63,2.61,Year 3,Science,PhD,0
22.4,Female,30273.0,Yes,3.5526324357644556,76.9,3,29.0,Yes,Yes,5.595957033985396,0.1,0.02,0.0,Year 4,Business,Bachelor,1
20.0,Female,25000.0,Yes,3.545737933436623,78.1,2,45.9,Yes,No,6.727495571815497,2.74,2.48,2.48,Year 1,Engineering,Bachelor,0
17.0,Female,59073.0,Yes,7.520577211947729,88.0,0,10.2,Yes,No,9.266996072588457,1.88,2.26,2.21,Year 2,Engineering,High School,0
21.2,Male,47414.0,Yes,4.826433281987222,92.3,0,30.7,No,No,4.743979757311761,3.67,3.73,3.73,Year 4,Arts,High School,0
20.9,Male,25000.0,No,4.128703269748182,83.1,1,38.9,No,No,6.352756338322232,2.59,2.36,2.31,Year 4,CS,PhD,0
22.9,Female,27746.0,Yes,3.060240343114465,62.9,1,5.0,Yes,No,9.942063858684469,1.22,1.38,1.38,Year 2,CS,High School,1
20.1,Male,40325.0,Yes,2.1714245381552004,85.3,3,33.0,No,Yes,6.409799881973819,0.95,1.28,1.23,Year 2,Engineering,Bachelor,0
18.0,Male,29129.0,No,5.774842991167601,70.9,4,16.2,No,No,8.01216396972024,2.38,2.25,2.25,Year 1,CS,High School,0
24.1,Male,38461.0,Yes,4.815425843678143,80.4,4,46.1,No,No,8.067532967337792,3.32,3.4,3.4,Year 1,Science,Bachelor,0
22.8,Female,50712.0,Yes,4.918810801938012,76.2,3,47.0,Yes,Yes,5.42789441165377,2.74,3.02,3.08,Year 3,Business,Bachelor,0
23.3,Female,31230.0,Yes,5.678883473172552,86.9,0,12.0,No,No,9.120443263595751,2.4,2.39,2.33,Year 3,Arts,Master,1
22.3,Female,25000.0,Yes,4.0421349568868985,93.3,3,34.7,No,Yes,6.299270039976439,2.19,1.81,1.81,Year 3,Science,Master,0
21.1,Female,25000.0,Yes,5.527927069441615,81.2,2,29.4,No,No,2.7334324435884314,4.0,4.0,3.95,Year 3,Arts,Bachelor,0
24.4,Male,41815.0,No,3.986861177193619,74.3,3,22.2,No,Yes,9.260968457625184,1.74,2.15,2.15,Year 1,Science,Bachelor,0
21.6,Male,42726.0,Yes,3.895001413373672,88.6,3,31.6,No,No,7.96801988391725,0.49,0.86,0.81,Year 4,CS,Bachelor,1
21.6,Male,48235.0,Yes,6.845520356629538,68.4,2,28.7,Yes,No,7.346973086855401,2.55,2.32,2.32,Year 1,Business,High School,1
21.0,Female,50822.0,Yes,7.999564935347729,78.1,1,34.3,No,No,4.904086264391642,4.0,3.87,3.87,Year 1,Engineering,High School,0
23.5,Male,60763.0,Yes,4.481277015325514,81.8,1,22.4,Yes,No,5.1025794987556115,1.29,1.09,1.16,Year 2,CS,Bachelor,0
22.8,Male,25000.0,Yes,6.0060277030135305,83.6,1,28.6,Yes,Yes,5.132915173155649,4.0,3.98,3.98,Year 1,Business,Bachelor,0
18.8,Male,25000.0,Yes,6.592477751013293,85.5,4,33.1,Yes,Yes,7.388484390061579,2.45,2.22,2.19,Year 2,Engineering,Bachelor,0
20.6,Female,25000.0,Yes,3.6138109726006222,94.2,0,31.4,Yes,Yes,7.719043870481071,1.26,1.45,1.46,Year 2,Science,Bachelor,1
24.2,Male,25000.0,Yes,3.428162085365337,88.9,3,37.4,No,No,9.91780439980789,0.69,0.23,0.23,Year 1,Science,Bachelor,1
21.8,Female,25000.0,No,5.927716316098122,86.2,0,31.5,No,No,4.093635109296537,4.0,3.74,3.7,Year 4,Business,PhD,0
24.9,Female,25000.0,Yes,5.897969968596072,84.3,0,25.3,No,Yes,5.259642355631056,1.92,2.06,2.09,Year 4,Science,Bachelor,0
22.8,Female,45089.0,No,2.6068513481383473,76.3,1,30.3,Yes,Yes,6.5140691061971445,1.9,2.05,2.07,Year 2,Arts,High School,1
24.3,Female,25000.0,Yes,6.260601870041085,81.7,2,38.9,No,Yes,5.608187198920518,0.14,0.0,0.0,Year 4,Business,Bachelor,1
19.8,Male,57159.0,Yes,5.422788796129575,74.1,3,17.9,No,No,5.823296344355044,2.5,2.05,2.1,Year 2,Business,Master,0
24.1,Female,36047.0,Yes,6.868259353251514,82.0,0,31.9,No,Yes,6.893235336727834,0.8,0.5,0.5,Year 1,Arts,Bachelor,0
18.8,Male,48484.0,Yes,6.892534289078243,77.7,3,42.3,Yes,No,6.378994795802782,1.79,2.15,2.17,Year 2,Science,High School,1
25.6,Female,25000.0,Yes,5.348907526740691,90.7,1,10.1,No,Yes,4.264447835948576,2.54,2.67,2.72,Year 3,Engineering,Bachelor,0
19.7,Male,25000.0,Yes,3.2943373492787376,96.0,0,12.9,No,No,1.8888089472423764,2.71,2.66,2.72,Year 3,Engineering,Bachelor,0
21.4,Male,40992.0,Yes,4.582390284117208,79.8,0,28.1,No,No,9.526400242763575,2.84,2.79,2.79,Year 1,Arts,Master,0
26.0,Male,26763.0,Yes,4.9162552129383466,89.8,1,16.3,No,Yes,1.8624338511662781,3.76,3.65,3.62,Year 4,Science,Bachelor,0
25.6,Female,33962.0,Yes,4.49759823651395,89.1,0,40.9,Yes,No,6.256061648108513,3.26,3.41,3.41,Year 1,CS,PhD,0
20.8,Male,25000.0,Yes,3.699789246540881,85.0,3,29.9,No,No,5.210357413495024,3.64,3.36,3.35,Year 3,Engineering,Master,0
19.4,Female,25000.0,Yes,2.2662430358406174,72.3,1,17.0,No,No,6.1044151380751215,0.5,0.45,0.44,Year 3,CS,Bachelor,1
22.8,Male,42342.0,Yes,7.37359836779462,84.5,1,12.4,Yes,No,8.182057176993599,3.21,3.27,3.19,Year 2,Science,High School,0
22.2,Male,30266.0,Yes,4.41762683574531,77.4,1,17.8,Yes,No,6.201109566378697,1.34,1.02,1.09,Year 4,Science,High School,0
23.4,Female,93802.0,Yes,4.685850017633474,83.9,2,23.4,No,No,7.073755418483101,3.25,3.28,3.16,Year 4,CS,Bachelor,0
22.0,Male,36347.0,Yes,3.6298030278327724,87.3,4,25.1,No,No,6.253214806208196,2.43,2.1,2.03,Year 2,CS,Bachelor,0
21.9,Female,58902.0,Yes,5.3319272667866455,82.6,4,19.1,Yes,No,4.421088199578151,2.65,2.7,2.67,Year 4,Business,High School,0
18.7,Female,57236.0,Yes,6.085523180547252,84.1,3,38.7,No,No,9.345076639868383,0.53,0.6,0.57,Year 3,Business,Bachelor,1
21.7,Male,25000.0,Yes,2.610609765052897,75.3,5,26.4,No,No,6.219660179645303,1.48,1.57,1.55,Year 2,Science,Bachelor,0
18.4,Male,27117.0,Yes,3.111624370182136,74.7,2,44.0,Yes,Yes,7.626071986985063,0.0,0.0,0.07,Year 4,Business,Master,1
17.8,Female,55198.0,Yes,4.647354497271993,82.9,0,38.4,No,No,7.346651480815118,0.0,0.0,0.03,Year 3,CS,Master,1
22.0,Female,37684.0,Yes,4.758331470176449,66.8,0,34.0,No,Yes,3.0431219685935713,2.74,2.86,2.86,Year 1,CS,Bachelor,0
17.6,Female,25000.0,Yes,3.993079136648554,86.6,0,43.0,No,Yes,9.673784330970722,2.14,3.01,2.96,Year 3,Engineering,Bachelor,0
20.6,Male,25000.0,Yes,3.7148980783635386,95.1,1,24.5,No,No,6.33840063503972,2.13,2.19,2.16,Year 4,Business,High School,0
18.4,Female,28889.0,Yes,2.886523316809619,86.7,1,30.3,Yes,No,9.109264370982611,2.33,2.35,2.33,Year 4,Arts,Bachelor,0
22.1,Male,25000.0,Yes,5.959147365173098,88.1,2,39.2,Yes,Yes,5.524024432961648,1.94,1.88,1.79,Year 2,CS,High School,0
20.2,Male,34346.0,Yes,7.807713967914252,92.5,1,32.5,Yes,No,4.957212072488599,3.47,2.78,2.75,Year 3,Science,Bachelor,0
22.2,Male,25000.0,Yes,7.653470249212679,77.6,1,43.1,No,No,5.646428153262747,4.0,3.8,3.77,Year 3,Engineering,High School,0
24.4,Female,25000.0,Yes,4.5188555395626935,78.4,5,40.6,Yes,Yes,7.154139359394788,2.28,2.07,2.02,Year 3,Business,Bachelor,0
22.5,Female,67939.0,Yes,4.658335671426125,80.5,2,37.6,Yes,No,5.055946480030961,3.87,3.99,3.97,Year 3,CS,High School,0
20.3,Female,25000.0,Yes,6.137339391780534,93.0,2,41.7,No,No,7.339736167599222,3.45,3.12,3.13,Year 3,Arts,High School,1
21.9,Female,58899.0,Yes,3.1025452103638487,83.5,0,13.3,No,No,6.42976498766717,3.48,3.41,3.38,Year 3,Arts,Master,0
23.8,Male,43144.0,No,5.722743642990578,94.5,1,32.0,No,No,6.115800490729814,3.49,2.79,2.8,Year 2,Arts,Bachelor,0
22.5,Male,87440.0,Yes,4.243695108196411,86.8,2,34.2,Yes,Yes,4.0303752867487415,3.57,3.98,3.86,Year 4,Business,PhD,0
